Date,Close/Last,Open,High,Low
03/08/2024,16085.11,16322.10,16449.70,16059.50
03/07/2024,16273.38,16147.32,16309.02,16096.01
03/06/2024,16031.54,16092.00,16128.56,15956.66
03/05/2024,15939.59,16077.74,16087.56,15862.63
03/04/2024,16207.51,16264.21,16289.06,16199.06
03/01/2024,16274.94,16109.83,16302.24,16096.60
02/29/2024,16091.92,16059.34,16115.96,15931.70
02/28/2024,15947.74,15969.14,16003.56,15924.72
02/27/2024,16035.30,16013.98,16046.10,15940.51
02/26/2024,15976.25,16014.45,16054.90,15973.90
02/23/2024,15996.82,16094.80,16134.22,15954.50
02/22/2024,16041.62,15904.48,16061.82,15869.24
02/21/2024,15580.87,15532.12,15583.68,15451.65
02/20/2024,15630.78,15679.84,15730.47,15508.50
02/16/2024,15775.65,15910.43,15917.41,15752.02
02/15/2024,15906.17,15865.30,15911.22,15779.72
02/14/2024,15859.15,15781.71,15865.51,15683.94
02/13/2024,15655.60,15598.88,15770.42,15551.44
02/12/2024,15942.55,15980.62,16080.07,15917.87
